column_name;total_non_null;num_categories;most_frequent_value;most_frequent_count;most_frequent_percentage;distribution;percentage_distribution
cclin02_wais4;4028;3;0.0;89;2.21;{0.0: np.int64(89), 1.0: np.int64(3562), 2.0: np.int64(377)};{0.0: np.float64(2.21), 1.0: np.float64(88.43), 2.0: np.float64(9.36)}
cclin03_wais4;4028;2;0.0;169;4.2;{0.0: np.int64(169), 1.0: np.int64(3859)};{0.0: np.float64(4.2), 1.0: np.float64(95.8)}
cclin04_wais4;3935;2;0.0;3377;85.82;{0.0: np.int64(3377), 1.0: np.int64(558)};{0.0: np.float64(85.82), 1.0: np.float64(14.18)}
cclin05_wais4;4047;2;0.0;757;18.71;{0.0: np.int64(757), 1.0: np.int64(3290)};{0.0: np.float64(18.71), 1.0: np.float64(81.29)}
cclin06_wais4;3973;2;0.0;1099;27.66;{0.0: np.int64(1099), 1.0: np.int64(2874)};{0.0: np.float64(27.66), 1.0: np.float64(72.34)}
cclin07_wais4;3940;2;0.0;52;1.32;{0.0: np.int64(52), 1.0: np.int64(3888)};{0.0: np.float64(1.32), 1.0: np.float64(98.68)}
cclin09_wais4;4041;2;0.0;114;2.82;{0.0: np.int64(114), 1.0: np.int64(3927)};{0.0: np.float64(2.82), 1.0: np.float64(97.18)}
cclin10_wais4;4042;2;0.0;96;2.38;{0.0: np.int64(96), 1.0: np.int64(3946)};{0.0: np.float64(2.38), 1.0: np.float64(97.62)}
cclin11_wais4;4045;2;0.0;119;2.94;{0.0: np.int64(119), 1.0: np.int64(3926)};{0.0: np.float64(2.94), 1.0: np.float64(97.06)}
cclin17_wais4;4051;1;0.0;4051;100.0;{0: np.int64(4051)};{0: np.float64(100.0)}
trbapp01_wais4;3946;3;0.0;188;4.76;{0.0: np.int64(188), 1.0: np.int64(3486), 2.0: np.int64(272)};{0.0: np.float64(4.76), 1.0: np.float64(88.34), 2.0: np.float64(6.89)}
trbapp02_wais4;3957;3;0.0;175;4.42;{0.0: np.int64(175), 1.0: np.int64(3649), 2.0: np.int64(133)};{0.0: np.float64(4.42), 1.0: np.float64(92.22), 2.0: np.float64(3.36)}
trbapp03_wais4;3960;3;0.0;165;4.17;{0.0: np.int64(165), 1.0: np.int64(3732), 2.0: np.int64(63)};{0.0: np.float64(4.17), 1.0: np.float64(94.24), 2.0: np.float64(1.59)}
trbapp04_wais4;3953;3;0.0;63;1.59;{0.0: np.int64(63), 1.0: np.int64(3873), 2.0: np.int64(17)};{0.0: np.float64(1.59), 1.0: np.float64(97.98), 2.0: np.float64(0.43)}
trbapp05_wais4;3954;3;0.0;79;2.0;{0.0: np.int64(79), 1.0: np.int64(3841), 2.0: np.int64(34)};{0.0: np.float64(2.0), 1.0: np.float64(97.14), 2.0: np.float64(0.86)}
trbapp06_wais4;3955;3;0.0;69;1.74;{0.0: np.int64(69), 1.0: np.int64(3814), 2.0: np.int64(72)};{0.0: np.float64(1.74), 1.0: np.float64(96.43), 2.0: np.float64(1.82)}
trbapp07_wais4;3956;3;0.0;14;0.35;{0.0: np.int64(14), 1.0: np.int64(3886), 2.0: np.int64(56)};{0.0: np.float64(0.35), 1.0: np.float64(98.23), 2.0: np.float64(1.42)}
trbapp08_wais4;3948;3;0.0;66;1.67;{0.0: np.int64(66), 1.0: np.int64(3828), 2.0: np.int64(54)};{0.0: np.float64(1.67), 1.0: np.float64(96.96), 2.0: np.float64(1.37)}
trbapp09_wais4;3949;3;0.0;48;1.22;{0.0: np.int64(48), 1.0: np.int64(3839), 2.0: np.int64(62)};{0.0: np.float64(1.22), 1.0: np.float64(97.21), 2.0: np.float64(1.57)}
trbapp10_wais4;3961;3;0.0;360;9.09;{0.0: np.int64(360), 1.0: np.int64(3415), 2.0: np.int64(186)};{0.0: np.float64(9.09), 1.0: np.float64(86.22), 2.0: np.float64(4.7)}
mat01_wais4;3929;2;0.0;2;0.05;{0.0: np.int64(2), 1.0: np.int64(3927)};{0.0: np.float64(0.05), 1.0: np.float64(99.95)}
mat02_wais4;3927;2;0.0;4;0.1;{0.0: np.int64(4), 1.0: np.int64(3923)};{0.0: np.float64(0.1), 1.0: np.float64(99.9)}
mat03_wais4;3927;2;0.0;1;0.03;{0.0: np.int64(1), 1.0: np.int64(3926)};{0.0: np.float64(0.03), 1.0: np.float64(99.97)}
mat04_wais4;3927;2;0.0;17;0.43;{0.0: np.int64(17), 1.0: np.int64(3910)};{0.0: np.float64(0.43), 1.0: np.float64(99.57)}
mat05_wais4;3927;2;0.0;77;1.96;{0.0: np.int64(77), 1.0: np.int64(3850)};{0.0: np.float64(1.96), 1.0: np.float64(98.04)}
mat06_wais4;3926;2;0.0;130;3.31;{0.0: np.int64(130), 1.0: np.int64(3796)};{0.0: np.float64(3.31), 1.0: np.float64(96.69)}
mat07_wais4;3926;2;0.0;316;8.05;{0.0: np.int64(316), 1.0: np.int64(3610)};{0.0: np.float64(8.05), 1.0: np.float64(91.95)}
mat08_wais4;3926;2;0.0;305;7.77;{0.0: np.int64(305), 1.0: np.int64(3621)};{0.0: np.float64(7.77), 1.0: np.float64(92.23)}
mat09_wais4;3926;2;0.0;344;8.76;{0.0: np.int64(344), 1.0: np.int64(3582)};{0.0: np.float64(8.76), 1.0: np.float64(91.24)}
mat10_wais4;3926;2;0.0;553;14.09;{0.0: np.int64(553), 1.0: np.int64(3373)};{0.0: np.float64(14.09), 1.0: np.float64(85.91)}
mat11_wais4;3926;2;0.0;537;13.68;{0.0: np.int64(537), 1.0: np.int64(3389)};{0.0: np.float64(13.68), 1.0: np.float64(86.32)}
mat12_wais4;3926;2;0.0;600;15.28;{0.0: np.int64(600), 1.0: np.int64(3326)};{0.0: np.float64(15.28), 1.0: np.float64(84.72)}
mat13_wais4;3926;2;0.0;695;17.7;{0.0: np.int64(695), 1.0: np.int64(3231)};{0.0: np.float64(17.7), 1.0: np.float64(82.3)}
mat14_wais4;3926;2;0.0;719;18.31;{0.0: np.int64(719), 1.0: np.int64(3207)};{0.0: np.float64(18.31), 1.0: np.float64(81.69)}
mat15_wais4;3926;2;0.0;1142;29.09;{0.0: np.int64(1142), 1.0: np.int64(2784)};{0.0: np.float64(29.09), 1.0: np.float64(70.91)}
mat16_wais4;3926;2;0.0;1166;29.7;{0.0: np.int64(1166), 1.0: np.int64(2760)};{0.0: np.float64(29.7), 1.0: np.float64(70.3)}
mat17_wais4;3926;2;0.0;1364;34.74;{0.0: np.int64(1364), 1.0: np.int64(2562)};{0.0: np.float64(34.74), 1.0: np.float64(65.26)}
mat18_wais4;3926;2;0.0;1626;41.42;{0.0: np.int64(1626), 1.0: np.int64(2300)};{0.0: np.float64(41.42), 1.0: np.float64(58.58)}
mat19_wais4;3926;2;0.0;1951;49.69;{0.0: np.int64(1951), 1.0: np.int64(1975)};{0.0: np.float64(49.69), 1.0: np.float64(50.31)}
mat20_wais4;3926;2;0.0;1851;47.15;{0.0: np.int64(1851), 1.0: np.int64(2075)};{0.0: np.float64(47.15), 1.0: np.float64(52.85)}
mat21_wais4;3925;2;0.0;2205;56.18;{0.0: np.int64(2205), 1.0: np.int64(1720)};{0.0: np.float64(56.18), 1.0: np.float64(43.82)}
mat22_wais4;3925;2;0.0;2116;53.91;{0.0: np.int64(2116), 1.0: np.int64(1809)};{0.0: np.float64(53.91), 1.0: np.float64(46.09)}
mat23_wais4;3925;2;0.0;2329;59.34;{0.0: np.int64(2329), 1.0: np.int64(1596)};{0.0: np.float64(59.34), 1.0: np.float64(40.66)}
mat24_wais4;3925;2;0.0;2551;64.99;{0.0: np.int64(2551), 1.0: np.int64(1374)};{0.0: np.float64(64.99), 1.0: np.float64(35.01)}
mat25_wais4;3925;2;0.0;3193;81.35;{0.0: np.int64(3193), 1.0: np.int64(732)};{0.0: np.float64(81.35), 1.0: np.float64(18.65)}
