column_name;num_categories;encoded_values;original_categories
cclin02_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];['Ambidextre', 'Droitier', 'Gaucher']
cclin03_wais4;2;[np.float64(0.0), np.float64(1.0)];['Non', 'Oui']
cclin04_wais4;2;[np.float64(0.0), np.float64(1.0)];"[""Moins d'une semaine"", ""Plus d'une semaine""]"
cclin05_wais4;2;[np.float64(0.0), np.float64(1.0)];['Non', 'Oui']
cclin06_wais4;2;[np.float64(0.0), np.float64(1.0)];['Non', 'Oui']
cclin07_wais4;2;[np.float64(0.0), np.float64(1.0)];['Non', 'Oui']
cclin09_wais4;2;[np.float64(0.0), np.float64(1.0)];['Non', 'Oui']
cclin10_wais4;2;[np.float64(0.0), np.float64(1.0)];['Non', 'Oui']
cclin11_wais4;2;[np.float64(0.0), np.float64(1.0)];['Non', 'Oui']
cclin17_wais4;1;[np.int64(0)];['Oui']
trbapp01_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];['Ne sais pas', 'Non', 'Oui']
trbapp02_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];['Ne sais pas', 'Non', 'Oui']
trbapp03_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];['Ne sais pas', 'Non', 'Oui']
trbapp04_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];['Ne sais pas', 'Non', 'Oui']
trbapp05_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];['Ne sais pas', 'Non', 'Oui']
trbapp06_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];['Ne sais pas', 'Non', 'Oui']
trbapp07_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];['Ne sais pas', 'Non', 'Oui']
trbapp08_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];['Ne sais pas', 'Non', 'Oui']
trbapp09_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];['Ne sais pas', 'Non', 'Oui']
trbapp10_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];['Ne sais pas', 'Non', 'Oui']
mat01_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat02_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat03_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat04_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat05_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat06_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat07_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat08_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat09_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat10_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat11_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat12_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat13_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat14_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat15_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat16_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat17_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat18_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat19_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat20_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat21_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat22_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat23_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat24_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat25_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
mat26_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
cvlt14z_wais4;10;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)];[1.0, 3.0, 5.0, 15.0, 25.0, 37.5, 50.0, 62.5, 75.0, 99.0]
cvlt16z_wais4;8;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0)];[1.0, 3.0, 5.0, 15.0, 25.0, 50.0, 75.0, 99.0]
cvlt17z_wais4;8;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0)];[1.0, 3.0, 5.0, 15.0, 25.0, 37.5, 62.5, 99.0]
cvlt18z_wais4;10;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)];[1.0, 3.0, 5.0, 15.0, 25.0, 37.5, 50.0, 62.5, 85.0, 99.0]
tmta03_wais4;5;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0)];[0.0, 1.0, 2.0, 3.0, 4.0]
tmta04_wais4;5;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0)];[0.0, 1.0, 2.0, 3.0, 4.0]
tmta02a_wais4;4;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0)];[5.0, 10.0, 25.0, 95.0]
tmtb03_wais4;10;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)];[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 10.0, 14.0]
tmtb02a_wais4;7;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0)];[5.0, 7.5, 10.0, 17.5, 25.0, 50.0, 95.0]
tmtb05a_wais4;5;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0)];[5.0, 7.5, 10.0, 25.0, 95.0]
tmtba02a_wais4;7;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0)];[5.0, 7.5, 10.0, 17.5, 25.0, 50.0, 95.0]
strooa03_wais4;5;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0)];[0.0, 1.0, 2.0, 3.0, 4.0]
strooa04_wais4;8;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0)];[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 8.0]
stroob03_wais4;10;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)];[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 31.0, 85.0]
stroob04_wais4;8;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0)];[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 9.0, 10.0]
strooc03_wais4;10;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0), np.float64(9.0)];[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 9.0, 10.0]
fv04_wais4;9;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0), np.float64(8.0)];[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 20.0]
fv06_wais4;6;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0)];[0.0, 1.0, 2.0, 3.0, 4.0, 10.0]
fv07_wais4;7;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0)];[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0]
fv17_wais4;8;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0), np.float64(4.0), np.float64(5.0), np.float64(6.0), np.float64(7.0)];[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 11.0]
fv18_wais4;4;[np.float64(0.0), np.float64(1.0), np.float64(2.0), np.float64(3.0)];[0.0, 1.0, 2.0, 3.0]
msd01a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd01b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd02a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd02b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd03a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd03b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd04a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd04b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd05a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd05b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd06a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd06b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd07a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd07b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd08a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd08b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msd01_wais4;2;[np.float64(0.0), np.float64(1.0)];[1.0, 2.0]
msd02_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
msd03_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
msd04_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
msd05_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
msd06_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
msd07_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
msd08_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
msi01a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi01b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi02a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi02b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi03a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi03b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi04a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi04b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi05a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi05b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi06a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi06b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi07a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi07b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi08a_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi08b_wais4;2;[np.float64(0.0), np.float64(1.0)];[0.0, 1.0]
msi01_wais4;2;[np.float64(0.0), np.float64(1.0)];[1.0, 2.0]
msi02_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
msi03_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
msi04_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
msi05_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
msi06_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
msi07_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
msi08_wais4;3;[np.float64(0.0), np.float64(1.0), np.float64(2.0)];[0.0, 1.0, 2.0]
