column_name;data_type;total_rows;missing_count;missing_percentage;non_missing_count
cclin01_wais4;numerical;4051;0;0.0;4051
cvlt14z_wais4;categorical;4051;0;0.0;4051
mat16_wais4;categorical;4051;0;0.0;4051
mat17_wais4;categorical;4051;0;0.0;4051
mat18_wais4;categorical;4051;0;0.0;4051
mat19_wais4;categorical;4051;0;0.0;4051
mat20_wais4;categorical;4051;0;0.0;4051
mat21_wais4;categorical;4051;0;0.0;4051
mat22_wais4;categorical;4051;0;0.0;4051
mat23_wais4;categorical;4051;0;0.0;4051
mat24_wais4;categorical;4051;0;0.0;4051
mat25_wais4;categorical;4051;0;0.0;4051
mat26_wais4;categorical;4051;0;0.0;4051
cvlt16z_wais4;categorical;4051;0;0.0;4051
mat14_wais4;categorical;4051;0;0.0;4051
cvlt17z_wais4;categorical;4051;0;0.0;4051
cvlt18z_wais4;categorical;4051;0;0.0;4051
tmta03_wais4;categorical;4051;0;0.0;4051
tmta04_wais4;categorical;4051;0;0.0;4051
tmta02a_wais4;categorical;4051;0;0.0;4051
tmtb03_wais4;categorical;4051;0;0.0;4051
tmtb02a_wais4;categorical;4051;0;0.0;4051
tmtb05a_wais4;categorical;4051;0;0.0;4051
tmtba02a_wais4;categorical;4051;0;0.0;4051
strooa03_wais4;categorical;4051;0;0.0;4051
strooa04_wais4;categorical;4051;0;0.0;4051
mat15_wais4;categorical;4051;0;0.0;4051
mat13_wais4;categorical;4051;0;0.0;4051
cclin08_wais4;numerical;4051;0;0.0;4051
trbapp09_wais4;categorical;4051;0;0.0;4051
cclin10_wais4;categorical;4051;0;0.0;4051
cclin11_wais4;categorical;4051;0;0.0;4051
cclin17_wais4;categorical;4051;0;0.0;4051
trbapp01_wais4;categorical;4051;0;0.0;4051
trbapp02_wais4;categorical;4051;0;0.0;4051
trbapp03_wais4;categorical;4051;0;0.0;4051
trbapp04_wais4;categorical;4051;0;0.0;4051
trbapp05_wais4;categorical;4051;0;0.0;4051
trbapp06_wais4;categorical;4051;0;0.0;4051
trbapp07_wais4;categorical;4051;0;0.0;4051
trbapp08_wais4;categorical;4051;0;0.0;4051
trbapp10_wais4;categorical;4051;0;0.0;4051
mat12_wais4;categorical;4051;0;0.0;4051
mat01_wais4;categorical;4051;0;0.0;4051
mat02_wais4;categorical;4051;0;0.0;4051
mat03_wais4;categorical;4051;0;0.0;4051
mat04_wais4;categorical;4051;0;0.0;4051
mat05_wais4;categorical;4051;0;0.0;4051
mat06_wais4;categorical;4051;0;0.0;4051
mat07_wais4;categorical;4051;0;0.0;4051
mat08_wais4;categorical;4051;0;0.0;4051
mat09_wais4;categorical;4051;0;0.0;4051
mat10_wais4;categorical;4051;0;0.0;4051
mat11_wais4;categorical;4051;0;0.0;4051
stroob03_wais4;categorical;4051;0;0.0;4051
stroob04_wais4;categorical;4051;0;0.0;4051
strooc03_wais4;categorical;4051;0;0.0;4051
msi06a_wais4;categorical;4051;0;0.0;4051
msd08_wais4;categorical;4051;0;0.0;4051
msi01a_wais4;categorical;4051;0;0.0;4051
msi01b_wais4;categorical;4051;0;0.0;4051
msi02a_wais4;categorical;4051;0;0.0;4051
msi02b_wais4;categorical;4051;0;0.0;4051
msi03a_wais4;categorical;4051;0;0.0;4051
msi03b_wais4;categorical;4051;0;0.0;4051
msi04a_wais4;categorical;4051;0;0.0;4051
msi04b_wais4;categorical;4051;0;0.0;4051
msi05a_wais4;categorical;4051;0;0.0;4051
msi05b_wais4;categorical;4051;0;0.0;4051
msi06b_wais4;categorical;4051;0;0.0;4051
fv04_wais4;categorical;4051;0;0.0;4051
msi07a_wais4;categorical;4051;0;0.0;4051
msi07b_wais4;categorical;4051;0;0.0;4051
msi08a_wais4;categorical;4051;0;0.0;4051
msi08b_wais4;categorical;4051;0;0.0;4051
msi01_wais4;categorical;4051;0;0.0;4051
msi02_wais4;categorical;4051;0;0.0;4051
msi03_wais4;categorical;4051;0;0.0;4051
msi04_wais4;categorical;4051;0;0.0;4051
msi05_wais4;categorical;4051;0;0.0;4051
msi06_wais4;categorical;4051;0;0.0;4051
msi07_wais4;categorical;4051;0;0.0;4051
msd07_wais4;categorical;4051;0;0.0;4051
msd06_wais4;categorical;4051;0;0.0;4051
msd05_wais4;categorical;4051;0;0.0;4051
msd04_wais4;categorical;4051;0;0.0;4051
fv06_wais4;categorical;4051;0;0.0;4051
fv07_wais4;categorical;4051;0;0.0;4051
fv17_wais4;categorical;4051;0;0.0;4051
fv18_wais4;categorical;4051;0;0.0;4051
msd01a_wais4;categorical;4051;0;0.0;4051
msd01b_wais4;categorical;4051;0;0.0;4051
msd02a_wais4;categorical;4051;0;0.0;4051
msd02b_wais4;categorical;4051;0;0.0;4051
msd03a_wais4;categorical;4051;0;0.0;4051
msd03b_wais4;categorical;4051;0;0.0;4051
msd04a_wais4;categorical;4051;0;0.0;4051
